2022-05-15 13:05:661 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 13:05:883 INFO  HomePage :35 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (005b887bbab5cc02935d2be942486c44)] -> link text: Log in]
2022-05-15 13:05:982 INFO  LoginPage :41 - Getting text from: [[ChromeDriver: chrome on WINDOWS (005b887bbab5cc02935d2be942486c44)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 13:05:306 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 13:05:906 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (8e1759aa2bebe9f8fc30d2f8de433412)] -> link text: Log in]
2022-05-15 13:05:59 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (8e1759aa2bebe9f8fc30d2f8de433412)] -> id: Email]
2022-05-15 13:05:132 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (8e1759aa2bebe9f8fc30d2f8de433412)] -> name: Password]
2022-05-15 13:05:565 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (8e1759aa2bebe9f8fc30d2f8de433412)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:683 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:712 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (287ebe3c9a53b242f7d25e4d098c9e40)] -> link text: Log in]
2022-05-15 14:05:789 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (287ebe3c9a53b242f7d25e4d098c9e40)] -> id: Email]
2022-05-15 14:05:860 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (287ebe3c9a53b242f7d25e4d098c9e40)] -> name: Password]
2022-05-15 14:05:262 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (287ebe3c9a53b242f7d25e4d098c9e40)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:609 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:718 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (de602446bc67e052ef02e4c0f9f82cd3)] -> link text: Log in]
2022-05-15 14:05:786 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (de602446bc67e052ef02e4c0f9f82cd3)] -> id: Email]
2022-05-15 14:05:851 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (de602446bc67e052ef02e4c0f9f82cd3)] -> name: Password]
2022-05-15 14:05:902 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (de602446bc67e052ef02e4c0f9f82cd3)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:01 INFO  LoginPage :61 - Getting text from: Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2022-05-15 14:05:530 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:466 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (786d3d81da96d45c5e3343520441c402)] -> link text: Log in]
2022-05-15 14:05:538 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (786d3d81da96d45c5e3343520441c402)] -> id: Email]
2022-05-15 14:05:607 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (786d3d81da96d45c5e3343520441c402)] -> name: Password]
2022-05-15 14:05:667 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (786d3d81da96d45c5e3343520441c402)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:729 INFO  LoginPage :61 - Getting text from: Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2022-05-15 14:05:583 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:924 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (e3fb7c4caec1b583613e6463b2653158)] -> link text: Log in]
2022-05-15 14:05:983 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (e3fb7c4caec1b583613e6463b2653158)] -> id: Email]
2022-05-15 14:05:49 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (e3fb7c4caec1b583613e6463b2653158)] -> name: Password]
2022-05-15 14:05:99 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (e3fb7c4caec1b583613e6463b2653158)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:143 INFO  LoginPage :61 - Getting text from: Proxy element for: DefaultElementLocator 'By.xpath: //div[@class='message-error validation-summary-errors']'
2022-05-15 14:05:256 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:319 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (24f3a4f13311dbbe8645df3916120ba0)] -> link text: Log in]
2022-05-15 14:05:390 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (24f3a4f13311dbbe8645df3916120ba0)] -> id: Email]
2022-05-15 14:05:463 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (24f3a4f13311dbbe8645df3916120ba0)] -> name: Password]
2022-05-15 14:05:853 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (24f3a4f13311dbbe8645df3916120ba0)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:869 INFO  LoginPage :61 - Getting text from: [[ChromeDriver: chrome on WINDOWS (24f3a4f13311dbbe8645df3916120ba0)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-15 14:05:897 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:823 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (8e03163f91e0c30ec12566b662b6578d)] -> link text: Log in]
2022-05-15 14:05:889 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (8e03163f91e0c30ec12566b662b6578d)] -> id: Email]
2022-05-15 14:05:955 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (8e03163f91e0c30ec12566b662b6578d)] -> name: Password]
2022-05-15 14:05:331 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (8e03163f91e0c30ec12566b662b6578d)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:345 INFO  LoginPage :61 - Getting text from: [[ChromeDriver: chrome on WINDOWS (8e03163f91e0c30ec12566b662b6578d)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-15 14:05:373 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:676 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (4fe063849eb7cbec2cb0b6d0849d7e7f)] -> link text: Log in]
2022-05-15 14:05:741 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (4fe063849eb7cbec2cb0b6d0849d7e7f)] -> id: Email]
2022-05-15 14:05:807 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (4fe063849eb7cbec2cb0b6d0849d7e7f)] -> name: Password]
2022-05-15 14:05:201 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (4fe063849eb7cbec2cb0b6d0849d7e7f)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 14:05:223 INFO  LoginPage :61 - Getting text from: [[ChromeDriver: chrome on WINDOWS (4fe063849eb7cbec2cb0b6d0849d7e7f)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-15 14:05:330 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:29 INFO  HomePage :43 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (5453753871fef41d1b4467970e26da3b)] -> link text: Log in]
2022-05-15 14:05:118 INFO  LoginPage :47 - Sending text to email field box: [[ChromeDriver: chrome on WINDOWS (5453753871fef41d1b4467970e26da3b)] -> id: Email]
2022-05-15 14:05:176 INFO  LoginPage :52 - Sending text to password field box: [[ChromeDriver: chrome on WINDOWS (5453753871fef41d1b4467970e26da3b)] -> name: Password]
2022-05-15 14:05:556 INFO  LoginPage :57 - Clicking on login button: [[ChromeDriver: chrome on WINDOWS (5453753871fef41d1b4467970e26da3b)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-15 15:05:317 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 15:05:104 INFO  HomePage :48 - Clicking on login link: [[ChromeDriver: chrome on WINDOWS (9aacec2527a34764c56369dfe83efc6a)] -> link text: Log in]
